,City of Interest,City,State,Total INC 5000 Businesses in Area,Construction,IT Services,Advertising & Marketing,Government Services,Health,Financial Services,Food & Beverage,Real Estate,Security,Education,Human Resources,Consulting,Manufacturing,Business Products & Services,Logistics & Transportation,Software,Travel & Hospitality,Retail,Telecommunications,Media,Consumer Products & Services,Energy,Insurance,Environmental Services,Engineering,Computer Hardware,Business Services
"Brentwood,+CA",,Brentwood,CA,39,0,8,3,0,0,4,2,0,0,2,2,0,1,6,1,4,0,1,1,0,0,2,0,1,0,1,0
"Bridgeport,+CT",,Bridgeport,CT,43,2,6,6,0,2,4,2,1,1,3,0,0,2,2,3,2,1,0,0,4,0,0,2,0,0,0,0
"Bridgeview,+IL",,Bridgeview,IL,229,8,44,26,0,13,10,12,5,4,6,11,0,15,21,9,12,1,6,6,3,9,2,1,0,2,3,0
"Brighton,+MA",,Brighton,MA,168,5,28,19,3,17,9,4,3,1,3,5,0,4,14,3,16,6,5,6,1,4,5,2,1,4,0,0
"Bristol,+CT",,Bristol,CT,24,1,5,2,0,2,1,1,0,0,1,0,0,3,2,0,2,0,1,0,0,0,1,1,0,1,0,0
"Broadview+Heights,+OH",,Broadview Heights,OH,60,2,6,4,1,8,4,0,2,1,0,5,0,6,10,2,1,0,1,1,2,2,0,1,0,1,0,0
"Broken+Arrow,+OK",,Broken Arrow,OK,14,0,3,0,0,1,2,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,2,0,0,1,0,0
"Bronx,+NY",,Bronx,NY,295,5,40,59,1,18,14,8,3,3,13,11,0,6,28,5,14,7,14,10,14,14,2,1,1,3,1,0
"Brookfield,+CT",,Brookfield,CT,24,1,3,4,0,1,3,1,0,1,1,0,0,3,0,2,2,0,0,0,1,0,0,1,0,0,0,0
"Brookfield,+WI",,Brookfield,WI,45,1,5,4,1,1,2,0,1,0,0,4,0,7,5,2,1,0,5,0,1,2,0,0,1,2,0,0
"Brooklyn,+NY",,Brooklyn,NY,318,5,56,57,1,19,14,7,3,3,13,14,0,6,29,5,17,7,14,10,13,14,3,2,2,3,1,0
"Brooklyn+Heights,+OH",,Brooklyn Heights,OH,63,2,6,4,1,8,4,0,2,2,0,5,0,8,10,2,1,0,1,1,2,2,0,1,0,1,0,0
"Brooklyn+Park,+MN",,Brooklyn Park,MN,76,4,17,8,0,7,3,0,1,1,0,3,0,2,8,2,6,0,5,2,0,2,4,0,0,1,0,0
"Brooksville,+FL",,Brooksville,FL,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Broomall,+PA",,Broomall,PA,132,5,21,7,1,17,10,1,1,0,5,12,0,6,15,3,7,3,2,1,1,5,2,4,3,0,0,0
"Broomfield,+CO",,Broomfield,CO,117,5,13,12,0,7,2,10,1,1,1,6,0,1,16,0,16,3,2,3,0,8,2,1,1,3,3,0
